plugin_id,name,code,class_name,plugin_enable,del_flg,version,source,create_date,update_date
1,商品情報追加プラグイン,PlgExpandProductColumns,Event,1,0,1.0.1,0,"2017-03-10 16:43:01","2017-03-16 16:00:09"
2,Maker,Maker,MakerEvent,1,0,1.0.0,0,"2017-03-10 17:00:53","2017-03-10 17:00:57"
6,Pointプラグイン,Point,PointEvent,1,0,1.0.0,0,"2017-05-15 17:54:15","2017-05-15 17:54:22"
7,メールテンプレート機能拡張プラグイン,MailTemplateEdit,MailTemplateEdit,1,0,1.0.0,0,"2017-05-15 17:55:08","2017-05-15 17:55:13"
8,メール設定プラグイン,MailTemplateEditor,,1,0,1.0.0,0,"2017-05-15 17:55:42","2017-05-15 17:56:14"
9,MailMagazine,MailMagazine,MailMagazine,1,0,1.0.0,0,"2017-05-15 17:55:53","2017-05-15 17:56:00"
10,EC-CUBEペイジェント決済プラグイン(3.0系),MdlPaygent,MdlPaymentEvent,0,1,1.1.1,1214,"2017-05-22 20:55:45","2017-06-07 14:34:14"
11,EC-CUBEペイジェント決済プラグイン(3.0系),MdlPaygent,MdlPaymentEvent,0,1,1.1.1,1214,"2017-06-07 14:34:27","2017-09-29 12:20:02"
12,"着物アキ カスタマイズ",KrAkiCustomizer,KrAkiCustomizerEvent,1,0,1.0.0,0,"2017-06-26 08:56:55","2023-09-17 23:40:28"
13,instagram連携,InstagramApi,,0,1,1.0.1,1013,"2017-06-27 12:50:09","2017-06-27 12:50:41"
14,EC-CUBEペイジェント決済プラグイン(3.0系),MdlPaygent,MdlPaymentEvent,1,0,1.3.1,1214,"2017-09-29 12:20:17","2021-08-02 15:40:17"
15,売上集計プラグイン,SalesReport,,1,0,1.0.0,961,"2019-04-17 19:15:17","2019-04-17 19:15:26"
16,Coupon,Coupon,Event,0,0,2.0.1,1069,"2020-06-15 15:43:31","2020-06-29 18:08:52"
17,EC-CUBE4系移行用バックアッププラグイン(3.0系),DataBackup3,,1,0,1.0.0,0,"2023-10-06 15:46:29","2023-10-06 15:47:07"
