tax_rule_id,product_class_id,creator_id,country_id,pref_id,product_id,calc_rule,tax_rate,tax_adjust,apply_date,del_flg,create_date,update_date
1,,1,,,,1,0,0,"2017-03-07 18:16:55",0,"2017-03-07 18:16:55","2017-03-28 15:27:38"
2,,2,,,,1,0,0,"2017-08-28 16:23:00",1,"2017-08-28 16:24:10","2017-09-06 19:38:48"
3,,2,,,,1,8,0,"2017-09-06 17:29:00",1,"2017-09-06 17:29:18","2017-09-06 19:37:02"
4,3620,2,,,3452,1,0,0,"2017-09-06 17:29:51",0,"2017-09-06 17:29:51","2019-10-03 10:59:49"
5,,2,,,,1,0,0,"2017-09-06 19:31:00",1,"2017-09-06 19:33:07","2017-09-06 19:37:45"
6,,2,,,,1,8,0,"2017-04-04 14:17:00",1,"2017-09-06 19:34:26","2017-09-08 15:40:16"
7,2279,2,,,2273,1,40,0,"2017-09-07 14:02:28",0,"2017-09-07 14:02:28","2017-09-07 14:04:12"
8,655,2,,,1750,1,50,0,"2017-09-08 15:30:32",0,"2017-09-08 15:30:32","2017-09-08 15:42:35"
9,,2,,,,1,10,0,"2017-09-05 00:33:00",0,"2017-09-08 15:31:07","2019-10-03 10:56:19"
10,3619,2,,,3451,1,0,0,"2017-09-26 15:48:07",1,"2017-09-26 15:48:07","2017-09-26 16:57:46"
