payment_id,creator_id,payment_method,charge,rule_max,rank,fix_flg,del_flg,create_date,update_date,payment_image,charge_flg,rule_min
1,1,郵便振替,0,,0,1,1,"2017-03-07 18:16:55","2017-05-08 17:22:01",,1,0
2,1,現金書留,0,,0,1,1,"2017-03-07 18:16:55","2017-05-08 17:22:10",,1,0
3,1,銀行振込,0,,2,1,0,"2017-03-07 18:16:55","2017-10-06 13:21:27",,1,0
4,1,代金引換,500,,0,1,1,"2017-03-07 18:16:55","2017-08-25 18:37:48",,1,0
5,3,"ペイジェント クレジット",0,,0,1,1,"2017-05-23 13:09:27","2017-10-06 13:19:19",,1,0
6,3,"ペイジェント コンビニ(番号方式)",0,,0,1,1,"2017-05-23 13:10:00","2017-10-06 13:19:28",,1,0
7,3,銀行ネット,0,,4,1,0,"2017-05-23 13:10:19","2017-10-12 13:09:04",,1,0
8,3,"ペイジェント ATM決済",0,,0,1,1,"2017-05-23 13:10:36","2017-10-06 13:19:38",,1,0
9,3,郵便振替,0,,0,1,1,"2017-05-23 13:11:51","2017-06-21 13:14:21",,1,0
10,3,"ペイジェント クレジット",0,,1,1,1,"2017-06-12 18:33:00","2017-08-25 18:37:48",,2,
11,3,"ペイジェント コンビニ(番号方式)",0,,2,1,1,"2017-06-12 18:33:00","2017-08-25 18:37:48",,1,
12,3,"ペイジェント ATM決済",0,,3,1,1,"2017-06-12 18:33:00","2017-08-25 18:37:48",,1,
13,3,"ペイジェント 銀行ネット",0,,4,1,1,"2017-06-12 18:33:00","2017-08-25 18:37:48",,1,
14,3,来店時店舗支払,0,,1,1,0,"2017-06-21 13:13:12","2017-10-06 13:21:22",,1,0
15,2,代金引換,0,,3,1,0,"2017-09-26 11:05:14","2017-10-06 13:21:31",,1,0
16,3,クレジットカード,0,,6,1,0,"2017-10-04 11:09:32","2017-10-12 13:03:04",,2,0
17,3,"ペイジェント コンビニ(番号方式)",0,,0,1,1,"2017-10-04 11:09:32","2017-10-04 11:36:26",,1,
18,3,ATM決済,0,,5,1,0,"2017-10-04 11:09:32","2017-10-12 12:59:38",,1,0
19,3,"ペイジェント 銀行ネット",0,,0,1,1,"2017-10-04 11:43:26","2017-10-06 13:19:07",,1,
